Date,Time,Day,Station,Code,Min Delay,Min Gap,Bound,Line,Vehicle,Temperature,Precipitation,Weather_Condition,Hour,Month,DayOfWeek,DayOfYear,IsWeekend,IsRushHour,IsMorningRush,IsEveningRush,Season,IsExtremeTemp,TempCategory,HasPrecipitation,HeavyPrecipitation,IsMajorStation,AvgDelay_7days,DelayCount_7days,DelayCategory,IsSignificantDelay,Station_encoded,Code_encoded,Bound_encoded,Line_encoded,Weather_Condition_encoded,Season_encoded,TempCategory_encoded,DelayCategory_encoded
2023-04-18,13:00:00,Tuesday,BLOOR-YONGE,TUSC,2,3,W,SRT,5884,25.4,0.9,Rain,13,4,1,108,0,0,0,0,Spring,0,Warm,1,0,1,3.0,7.0,Minor,0,0,4,3,2,2,0,2,1
2023-04-22,18:00:00,Saturday,BLOOR-YONGE,MUSAN,5,7,W,BD,5352,28.4,0.0,Clear,18,4,5,112,1,1,0,1,Spring,0,Warm,0,0,1,3.5714285714285716,7.0,Moderate,0,0,2,3,0,0,0,2,2
2023-04-24,18:00:00,Monday,BLOOR-YONGE,EUNT,1,1,E,SHP,5578,13.2,0.5,Clear,18,4,0,114,0,1,0,1,Spring,0,Mild,1,0,1,3.4285714285714284,7.0,Minor,0,0,0,0,1,0,0,1,1
2023-04-29,21:00:00,Saturday,BLOOR-YONGE,PUSC,2,3,S,SRT,5094,17.6,2.0,Rain,21,4,5,119,1,0,0,0,Spring,0,Mild,1,0,1,2.857142857142857,7.0,Minor,0,0,3,2,2,2,0,1,1
2023-05-01,15:00:00,Monday,BLOOR-YONGE,PUSC,3,5,E,SRT,5844,29.9,0.2,Rain,15,5,0,121,0,0,0,0,Spring,0,Warm,1,0,1,2.5714285714285716,7.0,Moderate,0,0,3,0,2,2,0,2,2
2023-05-03,05:00:00,Wednesday,BLOOR-YONGE,TUSC,2,4,S,SRT,5772,26.4,0.0,Rain,5,5,2,123,0,0,0,0,Spring,0,Warm,0,0,1,2.4285714285714284,7.0,Minor,0,0,4,2,2,2,0,2,1
2023-05-06,09:00:00,Saturday,BLOOR-YONGE,MUSAN,1,1,W,SRT,5416,29.1,0.0,Rain,9,5,5,126,1,1,1,0,Spring,0,Warm,0,0,1,2.2857142857142856,7.0,Minor,0,0,2,3,2,2,0,2,1
2023-05-07,19:00:00,Sunday,BLOOR-YONGE,TUSC,1,1,S,BD,5830,29.1,0.5,Cloudy,19,5,6,127,1,1,0,1,Spring,0,Warm,1,0,1,2.142857142857143,7.0,Minor,0,0,4,2,0,1,0,2,1
2023-05-08,12:00:00,Monday,BLOOR-YONGE,PUSC,3,4,S,YU,5762,17.1,0.0,Clear,12,5,0,128,0,0,0,0,Spring,0,Mild,0,0,1,1.8571428571428572,7.0,Moderate,0,0,3,2,3,0,0,1,2
2023-05-12,03:00:00,Friday,BLOOR-YONGE,MURS,1,2,S,BD,5276,18.3,1.6,Cloudy,3,5,4,132,0,0,0,0,Spring,0,Mild,1,0,1,1.8571428571428572,7.0,Minor,0,0,1,2,0,1,0,1,1
2023-05-16,16:00:00,Tuesday,BLOOR-YONGE,PUSC,8,12,W,YU,5205,22.6,0.5,Cloudy,16,5,1,136,0,0,0,0,Spring,0,Warm,1,0,1,2.7142857142857144,7.0,Major,1,0,3,3,3,1,0,2,0
2023-05-17,09:00:00,Wednesday,BLOOR-YONGE,MUSAN,1,1,E,SRT,5909,27.2,0.2,Clear,9,5,2,137,0,1,1,0,Spring,0,Warm,1,0,1,2.4285714285714284,7.0,Minor,0,0,2,0,2,0,0,2,1
2023-05-25,07:00:00,Thursday,BLOOR-YONGE,PUSC,2,4,N,SRT,5913,24.9,0.0,Clear,7,5,3,145,0,1,1,0,Spring,0,Warm,0,0,1,2.4285714285714284,7.0,Minor,0,0,3,1,2,0,0,2,1
2023-05-26,00:00:00,Friday,BLOOR-YONGE,TUSC,1,1,S,SRT,5005,30.2,0.0,Cloudy,0,5,4,146,0,0,0,0,Spring,1,Warm,0,0,1,2.4285714285714284,7.0,Minor,0,0,4,2,2,1,0,2,1
2023-05-26,13:00:00,Friday,BLOOR-YONGE,PUSC,7,11,N,YU,5032,30.2,0.0,Cloudy,13,5,4,146,0,0,0,0,Spring,1,Warm,0,0,1,3.2857142857142856,7.0,Major,1,0,3,1,3,1,0,2,0
2023-05-28,18:00:00,Sunday,BLOOR-YONGE,MURS,4,6,N,BD,5713,20.9,2.7,Rain,18,5,6,148,1,1,0,1,Spring,0,Warm,1,0,1,3.4285714285714284,7.0,Moderate,0,0,1,1,0,2,0,2,2
2023-06-03,07:00:00,Saturday,BLOOR-YONGE,TUSC,3,5,N,BD,5419,14.2,12.3,Cloudy,7,6,5,154,1,1,1,0,Summer,0,Mild,1,1,1,3.7142857142857144,7.0,Moderate,0,0,4,1,0,1,1,1,2
2023-06-05,16:00:00,Monday,BLOOR-YONGE,MURS,1,2,S,SRT,5942,18.7,9.7,Clear,16,6,0,156,0,0,0,0,Summer,0,Mild,1,1,1,2.7142857142857144,7.0,Minor,0,0,1,2,2,0,1,1,1
2023-06-06,05:00:00,Tuesday,BLOOR-YONGE,MUSAN,1,2,N,SHP,5965,14.0,1.6,Rain,5,6,1,157,0,0,0,0,Summer,0,Mild,1,0,1,2.7142857142857144,7.0,Minor,0,0,2,1,1,2,1,1,1
2023-06-09,09:00:00,Friday,BLOOR-YONGE,TUSC,2,3,E,BD,5696,14.4,2.3,Rain,9,6,4,160,0,1,1,0,Summer,0,Mild,1,0,1,2.7142857142857144,7.0,Minor,0,0,4,0,0,2,1,1,1
2023-06-12,12:00:00,Monday,BLOOR-YONGE,PUSC,2,3,E,YU,5507,18.0,2.8,Cloudy,12,6,0,163,0,0,0,0,Summer,0,Mild,1,0,1,2.857142857142857,7.0,Minor,0,0,3,0,3,1,1,1,1
2023-06-13,05:00:00,Tuesday,BLOOR-YONGE,EUNT,1,1,E,SRT,5424,11.9,0.6,Rain,5,6,1,164,0,0,0,0,Summer,0,Mild,1,0,1,2.0,7.0,Minor,0,0,0,0,2,2,1,1,1
2023-06-14,02:00:00,Wednesday,BLOOR-YONGE,MUSAN,2,3,S,SRT,5810,15.6,0.7,Snow,2,6,2,165,0,0,0,0,Summer,0,Mild,1,0,1,1.7142857142857142,7.0,Minor,0,0,2,2,2,3,1,1,1
2023-06-17,19:00:00,Saturday,BLOOR-YONGE,MUSAN,5,8,N,YU,5761,14.9,0.0,Clear,19,6,5,168,1,1,0,1,Summer,0,Mild,0,0,1,2.0,7.0,Moderate,0,0,2,1,3,0,1,1,2
2023-06-23,04:00:00,Friday,BLOOR-YONGE,TUSC,1,2,E,SHP,5536,13.2,0.0,Clear,4,6,4,174,0,0,0,0,Summer,0,Mild,0,0,1,2.0,7.0,Minor,0,0,4,0,1,0,1,1,1
2023-06-24,09:00:00,Saturday,BLOOR-YONGE,MURS,1,2,W,BD,5993,21.5,1.7,Cloudy,9,6,5,175,1,1,1,0,Summer,0,Warm,1,0,1,2.0,7.0,Minor,0,0,1,3,0,1,1,2,1
2023-06-30,15:00:00,Friday,BLOOR-YONGE,PUSC,2,3,E,SRT,5631,27.2,1.9,Clear,15,6,4,181,0,0,0,0,Summer,0,Warm,1,0,1,2.0,7.0,Minor,0,0,3,0,2,0,1,2,1
2023-07-01,00:00:00,Saturday,BLOOR-YONGE,EUNT,2,3,E,BD,5293,20.0,0.4,Rain,0,7,5,182,1,0,0,0,Summer,0,Mild,1,0,1,2.0,7.0,Minor,0,0,0,0,0,2,1,1,1
2023-07-01,19:00:00,Saturday,BLOOR-YONGE,MURS,6,9,N,YU,5626,20.0,0.4,Rain,19,7,5,182,1,1,0,1,Summer,0,Mild,1,0,1,2.7142857142857144,7.0,Major,1,0,1,1,3,2,1,1,0
2023-07-02,08:00:00,Sunday,BLOOR-YONGE,EUNT,1,1,E,BD,5523,23.4,0.0,Rain,8,7,6,183,1,1,1,0,Summer,0,Warm,0,0,1,2.5714285714285716,7.0,Minor,0,0,0,0,0,2,1,2,1
2023-07-04,19:00:00,Tuesday,BLOOR-YONGE,PUSC,1,2,W,SRT,5358,16.7,0.2,Clear,19,7,1,185,0,1,0,1,Summer,0,Mild,1,0,1,2.0,7.0,Minor,0,0,3,3,2,0,1,1,1
2023-07-08,09:00:00,Saturday,BLOOR-YONGE,PUSC,1,2,N,SRT,5794,19.8,2.1,Clear,9,7,5,189,1,1,1,0,Summer,0,Mild,1,0,1,2.0,7.0,Minor,0,0,3,1,2,0,1,1,1
2023-07-10,09:00:00,Monday,BLOOR-YONGE,MUSAN,3,5,W,SRT,5216,6.5,0.8,Snow,9,7,0,191,0,1,1,0,Summer,0,Cool,1,0,1,2.2857142857142856,7.0,Moderate,0,0,2,3,2,3,1,0,2
2023-07-13,17:00:00,Thursday,BLOOR-YONGE,PUSC,4,6,N,BD,5566,0.2,0.0,Clear,17,7,3,194,0,1,0,1,Summer,0,Cool,0,0,1,2.5714285714285716,7.0,Moderate,0,0,3,1,0,0,1,0,2
2023-07-15,07:00:00,Saturday,BLOOR-YONGE,PUSC,2,3,W,SRT,5237,7.9,0.0,Rain,7,7,5,196,1,1,1,0,Summer,0,Cool,0,0,1,2.5714285714285716,7.0,Minor,0,0,3,3,2,2,1,0,1
2023-07-18,08:00:00,Tuesday,BLOOR-YONGE,MURS,2,3,N,SHP,5349,7.1,3.6,Snow,8,7,1,199,0,1,1,0,Summer,0,Cool,1,0,1,2.0,7.0,Minor,0,0,1,1,1,3,1,0,1
2023-07-19,16:00:00,Wednesday,BLOOR-YONGE,EUNT,1,1,E,BD,5744,15.0,1.5,Clear,16,7,2,200,0,0,0,0,Summer,0,Mild,1,0,1,2.0,7.0,Minor,0,0,0,0,0,0,1,1,1
2023-07-21,19:00:00,Friday,BLOOR-YONGE,TUSC,1,2,W,BD,5882,7.5,0.0,Clear,19,7,4,202,0,1,0,1,Summer,0,Cool,0,0,1,2.0,7.0,Minor,0,0,4,3,0,0,1,0,1
2023-07-22,08:00:00,Saturday,BLOOR-YONGE,PUSC,2,3,S,SHP,5573,14.1,0.0,Clear,8,7,5,203,1,1,1,0,Summer,0,Mild,0,0,1,2.142857142857143,7.0,Minor,0,0,3,2,1,0,1,1,1
2023-07-25,21:00:00,Tuesday,BLOOR-YONGE,PUSC,8,12,S,SRT,5057,7.2,0.3,Rain,21,7,1,206,0,0,0,0,Summer,0,Cool,1,0,1,2.857142857142857,7.0,Major,1,0,3,2,2,2,1,0,0
2023-01-04,08:00:00,Wednesday,COLLEGE,TUSC,2,4,W,YU,5164,18.9,0.0,Cloudy,8,1,2,4,0,1,1,0,Winter,0,Mild,0,0,0,2.0,1.0,Minor,0,1,4,3,3,1,2,1,1
2023-01-06,03:00:00,Friday,COLLEGE,PUSC,1,2,W,BD,5003,18.7,1.6,Cloudy,3,1,4,6,0,0,0,0,Winter,0,Mild,1,0,0,1.5,2.0,Minor,0,1,3,3,0,1,2,1,1
2023-01-07,07:00:00,Saturday,COLLEGE,PUSC,1,1,W,SHP,5850,17.5,0.4,Rain,7,1,5,7,1,1,1,0,Winter,0,Mild,1,0,0,1.3333333333333333,3.0,Minor,0,1,3,3,1,2,2,1,1
2023-01-17,12:00:00,Tuesday,COLLEGE,MURS,6,10,S,SRT,5674,22.1,2.0,Snow,12,1,1,17,0,0,0,0,Winter,0,Warm,1,0,0,2.5,4.0,Major,1,1,1,2,2,3,2,2,0
2023-01-18,01:00:00,Wednesday,COLLEGE,MURS,1,2,W,SHP,5898,21.3,0.0,Clear,1,1,2,18,0,0,0,0,Winter,0,Warm,0,0,0,2.2,5.0,Minor,0,1,1,3,1,0,2,2,1
2023-01-19,07:00:00,Thursday,COLLEGE,TUSC,4,7,N,SHP,5037,16.9,3.9,Clear,7,1,3,19,0,1,1,0,Winter,0,Mild,1,0,0,2.5,6.0,Moderate,0,1,4,1,1,0,2,1,2
2023-01-21,11:00:00,Saturday,COLLEGE,TUSC,8,13,W,BD,5092,18.0,1.1,Clear,11,1,5,21,1,0,0,0,Winter,0,Mild,1,0,0,3.2857142857142856,7.0,Major,1,1,4,3,0,0,2,1,0
2023-01-23,08:00:00,Monday,COLLEGE,PUSC,5,7,E,BD,5726,19.6,10.3,Cloudy,8,1,0,23,0,1,1,0,Winter,0,Mild,1,1,0,3.7142857142857144,7.0,Moderate,0,1,3,0,0,1,2,1,2
2023-01-23,09:00:00,Monday,COLLEGE,MUSAN,3,5,N,YU,5795,19.6,10.3,Cloudy,9,1,0,23,0,1,1,0,Winter,0,Mild,1,1,0,4.0,7.0,Moderate,0,1,2,1,3,1,2,1,2
2023-01-29,22:00:00,Sunday,COLLEGE,MURS,2,3,W,SRT,5021,17.2,2.5,Cloudy,22,1,6,29,1,0,0,0,Winter,0,Mild,1,0,0,4.142857142857143,7.0,Minor,0,1,1,3,2,1,2,1,1
2023-01-30,18:00:00,Monday,COLLEGE,EUNT,1,1,S,YU,5150,27.1,2.1,Clear,18,1,0,30,0,1,0,1,Winter,0,Warm,1,0,0,3.4285714285714284,7.0,Minor,0,1,0,2,3,0,2,2,1
2023-02-13,08:00:00,Monday,COLLEGE,EUNT,3,5,W,YU,5729,28.8,0.0,Clear,8,2,0,44,0,1,1,0,Winter,0,Warm,0,0,0,3.7142857142857144,7.0,Moderate,0,1,0,3,3,0,2,2,2
2023-02-15,08:00:00,Wednesday,COLLEGE,MUSAN,5,8,E,SHP,5670,25.7,0.0,Rain,8,2,2,46,0,1,1,0,Winter,0,Warm,0,0,0,3.857142857142857,7.0,Moderate,0,1,2,0,1,2,2,2,2
2023-02-17,00:00:00,Friday,COLLEGE,MUSAN,6,9,N,BD,5957,20.6,0.6,Clear,0,2,4,48,0,0,0,0,Winter,0,Warm,1,0,0,3.5714285714285716,7.0,Major,1,1,2,1,0,0,2,2,0
2023-02-17,11:00:00,Friday,COLLEGE,TUSC,2,3,W,SHP,5340,20.6,0.6,Clear,11,2,4,48,0,0,0,0,Winter,0,Warm,1,0,0,3.142857142857143,7.0,Minor,0,1,4,3,1,0,2,2,1
2023-03-02,12:00:00,Thursday,COLLEGE,MUSAN,3,4,N,SRT,5488,27.3,0.3,Clear,12,3,3,61,0,0,0,0,Spring,0,Warm,1,0,0,3.142857142857143,7.0,Moderate,0,1,2,1,2,0,0,2,2
2023-03-08,11:00:00,Wednesday,COLLEGE,MUSAN,5,8,S,YU,5475,21.2,0.0,Rain,11,3,2,67,0,0,0,0,Spring,0,Warm,0,0,0,3.5714285714285716,7.0,Moderate,0,1,2,2,3,2,0,2,2
2023-03-11,09:00:00,Saturday,COLLEGE,TUSC,5,8,E,SHP,5007,28.7,0.1,Cloudy,9,3,5,70,1,1,1,0,Spring,0,Warm,1,0,0,4.142857142857143,7.0,Moderate,0,1,4,0,1,1,0,2,2
2023-03-14,02:00:00,Tuesday,COLLEGE,MURS,7,10,S,BD,5176,21.4,0.8,Clear,2,3,1,73,0,0,0,0,Spring,0,Warm,1,0,0,4.714285714285714,7.0,Major,1,1,1,2,0,0,0,2,0
2023-03-14,18:00:00,Tuesday,COLLEGE,TUSC,4,7,S,SHP,5258,21.4,0.8,Clear,18,3,1,73,0,1,0,1,Spring,0,Warm,1,0,0,4.571428571428571,7.0,Moderate,0,1,4,2,1,0,0,2,2
2023-03-15,17:00:00,Wednesday,COLLEGE,EUNT,2,4,S,BD,5731,20.3,0.0,Cloudy,17,3,2,74,0,1,0,1,Spring,0,Warm,0,0,0,4.0,7.0,Minor,0,1,0,2,0,1,0,2,1
2023-03-16,04:00:00,Thursday,COLLEGE,MUSAN,1,2,S,SRT,5192,22.7,0.6,Cloudy,4,3,3,75,0,0,0,0,Spring,0,Warm,1,0,0,3.857142857142857,7.0,Minor,0,1,2,2,2,1,0,2,1
2023-03-17,17:00:00,Friday,COLLEGE,EUNT,2,3,W,SRT,5576,21.2,2.5,Snow,17,3,4,76,0,1,0,1,Spring,0,Warm,1,0,0,3.7142857142857144,7.0,Minor,0,1,0,3,2,3,0,2,1
2023-03-18,20:00:00,Saturday,COLLEGE,PUSC,3,4,S,SRT,5705,21.2,2.7,Cloudy,20,3,5,77,1,0,0,0,Spring,0,Warm,1,0,0,3.4285714285714284,7.0,Moderate,0,1,3,2,2,1,0,2,2
2023-03-25,09:00:00,Saturday,COLLEGE,MUSAN,6,9,N,BD,5258,28.3,0.0,Clear,9,3,5,84,1,1,1,0,Spring,0,Warm,0,0,0,3.5714285714285716,7.0,Major,1,1,2,1,0,0,0,2,0
2023-03-27,07:00:00,Monday,COLLEGE,PUSC,6,9,S,YU,5211,27.8,1.7,Clear,7,3,0,86,0,1,1,0,Spring,0,Warm,1,0,0,3.4285714285714284,7.0,Major,1,1,3,2,3,0,0,2,0
2023-04-03,06:00:00,Monday,COLLEGE,PUSC,4,7,S,SRT,5926,25.2,1.6,Clear,6,4,0,93,0,0,0,0,Spring,0,Warm,1,0,0,3.4285714285714284,7.0,Moderate,0,1,3,2,2,0,0,2,2
2023-04-04,21:00:00,Tuesday,COLLEGE,PUSC,2,3,S,SHP,5663,24.8,0.2,Clear,21,4,1,94,0,0,0,0,Spring,0,Warm,1,0,0,3.4285714285714284,7.0,Minor,0,1,3,2,1,0,0,2,1
2023-04-06,07:00:00,Thursday,COLLEGE,MUSAN,2,3,S,BD,5505,29.1,0.0,Rain,7,4,3,96,0,1,1,0,Spring,0,Warm,0,0,0,3.5714285714285716,7.0,Minor,0,1,2,2,0,2,0,2,1
2023-04-07,18:00:00,Friday,COLLEGE,EUNT,3,4,N,YU,5948,24.5,0.7,Clear,18,4,4,97,0,1,0,1,Spring,0,Warm,1,0,0,3.7142857142857144,7.0,Moderate,0,1,0,1,3,0,0,2,2
2023-04-08,04:00:00,Saturday,COLLEGE,MURS,1,1,S,YU,5341,27.8,0.2,Snow,4,4,5,98,1,0,0,0,Spring,0,Warm,1,0,0,3.4285714285714284,7.0,Minor,0,1,1,2,3,3,0,2,1
